Freq [GHz],Re(Y11) [S],Re(Y22) [S],Re(Y11) load-only [S]
5.113,0.009999999999999997,0.009999999999999998,0.04
5.122,0.01,0.010000000000000002,0.04000000000000001
5.131,0.009999999999999997,0.01,0.04
5.14,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.149,0.009999999999999998,0.01,0.04
5.158,0.010000000000000002,0.010000000000000002,0.04000000000000001
5.167,0.009999999999999997,0.009999999999999995,0.03999999999999999
5.176,0.01,0.01,0.04
5.185,0.009999999999999997,0.009999999999999998,0.039999999999999994
5.194,0.009999999999999998,0.01,0.04
5.203,0.01,0.009999999999999997,0.03999999999999999
5.212,0.009999999999999997,0.01,0.04
5.221,0.010000000000000002,0.010000000000000002,0.04
5.23,0.010000000000000002,0.010000000000000002,0.04000000000000001
5.239,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.248,0.009999999999999998,0.01,0.04
5.257,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.266,0.010000000000000004,0.009999999999999998,0.04
5.275,0.009999999999999997,0.010000000000000002,0.04
5.284,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.293,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.302,0.01,0.009999999999999998,0.04
5.311,0.010000000000000002,0.010000000000000002,0.04000000000000001
5.32,0.01,0.01,0.039999999999999994
5.329,0.010000000000000002,0.01,0.04000000000000001
5.338,0.010000000000000005,0.010000000000000002,0.039999999999999994
5.347,0.009999999999999997,0.009999999999999998,0.039999999999999994
5.356,0.010000000000000004,0.009999999999999997,0.039999999999999994
5.365,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.374,0.010000000000000002,0.009999999999999995,0.03999999999999999
5.383,0.009999999999999997,0.01,0.04
5.392,0.01,0.009999999999999998,0.039999999999999994
5.401,0.009999999999999998,0.01,0.04
5.41,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.419,0.009999999999999997,0.010000000000000002,0.04
5.428,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.437,0.009999999999999998,0.01,0.04
5.446,0.009999999999999995,0.010000000000000002,0.04
5.455,0.010000000000000005,0.009999999999999997,0.04000000000000001
5.464,0.01,0.009999999999999997,0.04
5.473,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.482,0.009999999999999997,0.009999999999999998,0.039999999999999994
5.491,0.010000000000000004,0.01,0.04000000000000001
5.5,0.009999999999999993,0.01,0.039999999999999994
5.509,0.009999999999999997,0.009999999999999998,0.039999999999999994
5.518,0.01,0.009999999999999998,0.039999999999999994
5.527,0.010000000000000004,0.010000000000000002,0.04000000000000001
5.536,0.010000000000000007,0.010000000000000002,0.04000000000000001
5.545,0.009999999999999998,0.01,0.04
5.554,0.009999999999999998,0.01,0.04
5.563,0.009999999999999997,0.01,0.04
5.572,0.009999999999999997,0.010000000000000002,0.04
5.581,0.009999999999999998,0.009999999999999997,0.03999999999999999
5.59,0.010000000000000002,0.01,0.039999999999999994
5.599,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.608,0.010000000000000002,0.010000000000000002,0.04
5.617,0.010000000000000004,0.009999999999999997,0.039999999999999994
5.626,0.01,0.010000000000000004,0.04000000000000001
5.635,0.010000000000000004,0.010000000000000002,0.04000000000000001
5.644,0.009999999999999997,0.010000000000000002,0.04
5.653,0.009999999999999997,0.01,0.04
5.662,0.010000000000000005,0.010000000000000004,0.040000000000000015
5.671,0.009999999999999998,0.01,0.04
5.68,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.689,0.009999999999999998,0.009999999999999998,0.039999999999999994
5.698,0.010000000000000005,0.010000000000000004,0.04
5.707,0.01,0.010000000000000002,0.04000000000000001
5.716,0.009999999999999998,0.01,0.04
5.725,0.009999999999999993,0.009999999999999998,0.03999999999999999
5.734,0.009999999999999998,0.01,0.04
5.743,0.009999999999999998,0.009999999999999998,0.04
5.752,0.01,0.01,0.039999999999999994
5.761,0.01,0.010000000000000002,0.04000000000000001
