"Freq [GHz]","re(Yt(Diff1,Diff1)) []","im(Yt(Diff1,Diff1)) []","re(Yt(Comm1,Diff1)) []","im(Yt(Comm1,Diff1)) []","re(Yt(Diff1,Comm1)) []","im(Yt(Diff1,Comm1)) []","re(Yt(Comm1,Comm1)) []","im(Yt(Comm1,Comm1)) []"
4.445,9.06902382834208E-10,0.000209992169580047,-1.94195385655411E-09,-1.35906747068227E-06,-1.94195385670823E-09,-1.35906747068253E-06,1.03249683143514E-08,0.00595405317545707
4.4475,9.04980902495544E-10,0.000213376552808709,-1.94292414393174E-09,-1.36416864727454E-06,-1.94292414399493E-09,-1.36416864727446E-06,1.03308348704811E-08,0.00595748921091087
4.45,9.03061912247804E-10,0.000216759403587759,-1.94389533493127E-09,-1.3692788934664E-06,-1.94389533479893E-09,-1.3692788934665E-06,1.03367011121402E-08,0.00596092539691801
4.4525,9.01145421166845E-10,0.000220140725064507,-1.94486744068047E-09,-1.37439822017003E-06,-1.94486744089152E-09,-1.37439822017035E-06,1.03425670705537E-08,0.00596436173357324
4.455,8.99231428725745E-10,0.000223520520379703,-1.94584048278401E-09,-1.37952663831429E-06,-1.94584048285919E-09,-1.37952663831439E-06,1.03484327450276E-08,0.00596779822097128
4.4575,8.97319940819852E-10,0.000226898792667549,-1.94681447453396E-09,-1.38466415884134E-06,-1.94681447403814E-09,-1.38466415884161E-06,1.03542981551297E-08,0.00597123485920692
4.46,8.9541095874804E-10,0.000230275545055719,-1.94778943586785E-09,-1.38981079271116E-06,-1.94778943632427E-09,-1.38981079271113E-06,1.03601633133499E-08,0.00597467164837492
4.4625,8.93504484996387E-10,0.000233650780665382,-1.94876538147338E-09,-1.39496655089673E-06,-1.94876538147057E-09,-1.3949665508967E-06,1.03660282294027E-08,0.0059781085885701
4.465,8.91600525501982E-10,0.000237024502611216,-1.94974233295655E-09,-1.40013144438872E-06,-1.94974233303177E-09,-1.40013144438875E-06,1.03718929293783E-08,0.00598154567988725
4.4675,8.89699078596238E-10,0.000240396714001428,-1.95072030109339E-09,-1.40530548419109E-06,-1.950720301152E-09,-1.40530548419123E-06,1.03777574322894E-08,0.00598498292242123
4.47,8.87800148396956E-10,0.000243767417937773,-1.95169930832796E-09,-1.4104886813259E-06,-1.9516993080972E-09,-1.41048868132591E-06,1.0383621743687E-08,0.00598842031626687
4.4725,8.85903736834014E-10,0.000247136617515573,-1.95267936972055E-09,-1.41568104682865E-06,-1.95267936995145E-09,-1.41568104682865E-06,1.03894858885512E-08,0.00599185786151903
4.475,8.84009844978606E-10,0.000250504315823731,-1.95366050586612E-09,-1.42088259175145E-06,-1.95366050559609E-09,-1.42088259175135E-06,1.03953498981069E-08,0.00599529555827262
4.4775,8.82118474064553E-10,0.000253870515944756,-1.95464273247845E-09,-1.42609332716176E-06,-1.95464273282902E-09,-1.426093327162E-06,1.04012137769338E-08,0.00599873340662252
4.48,8.8022962623749E-10,0.000257235220954776,-1.95562606672954E-09,-1.43131326414287E-06,-1.95562606678717E-09,-1.43131326414289E-06,1.04070775598653E-08,0.00600217140666364
4.4825,8.78343301864964E-10,0.000260598433923559,-1.9566105305903E-09,-1.43654241379379E-06,-1.95661053025163E-09,-1.43654241379376E-06,1.04129412663301E-08,0.00600560955849091
4.485,8.76459502021417E-10,0.000263960157914531,-1.95759613630617E-09,-1.44178078722858E-06,-1.95759613666097E-09,-1.44178078722853E-06,1.04188049220022E-08,0.0060090478621993
4.4875,8.74578227136194E-10,0.000267320395984789,-1.95858290678158E-09,-1.44702839557755E-06,-1.95858290642132E-09,-1.44702839557772E-06,1.04246685488085E-08,0.00601248631788374
4.49,8.72699478618759E-10,0.000270679151185128,-1.95957086024485E-09,-1.45228524998793E-06,-1.95957086035873E-09,-1.45228524998796E-06,1.04305321778353E-08,0.00601592492563923
