"Freq [GHz]","re(Yt(Signal9_1_T1,Signal9_1_T1)) []","im(Yt(Signal9_1_T1,Signal9_1_T1)) []"
4.575,1.12014915058649E-09,0.000381273203464925
4.5775,1.12218687045645E-09,0.00038458927810189
4.58,1.12422221611142E-09,0.000387903710409065
4.5825,1.12625454470692E-09,0.000391216503166353
4.585,1.12828320920245E-09,0.000394527659147674
4.5875,1.13030754837127E-09,0.000397837181120989
4.59,1.13232689703412E-09,0.000401145071848317
4.5925,1.1343405784619E-09,0.000404451334085747
4.595,1.1363479156118E-09,0.000407755970583459
4.5975,1.13834821871375E-09,0.000411058984085741
4.6,1.14034079447819E-09,0.000414360377331
4.6025,1.14232494572724E-09,0.000417660153051789
4.605,1.14429997831392E-09,0.000420958313974809
4.6075,1.14626518077251E-09,0.000424254862820939
4.61,1.14821984956629E-09,0.000427549802305249
4.6125,1.15016327812992E-09,0.000430843135137007
4.615,1.15209475627966E-09,0.000434134864019708
4.6175,1.15401357339738E-09,0.000437424991651084
4.62,1.15591902700682E-09,0.000440713520723116
4.6225,1.15781040765196E-09,0.000444000453922062
4.625,1.15968701450475E-09,0.000447285793928458
4.6275,1.16154814988751E-09,0.000450569543417149
4.63,1.16339312040589E-09,0.000453851705057289
4.6325,1.16522123496238E-09,0.000457132281512369
4.635,1.16703181076045E-09,0.000460411275440229
4.6375,1.16882417858902E-09,0.000463688689493069
4.64,1.17059766942171E-09,0.000466964526317474
4.6425,1.17235162978711E-09,0.000470238788554417
4.645,1.17408541066964E-09,0.000473511478839282
4.6475,1.175798385557E-09,0.000476782599801884
4.65,1.17748992879969E-09,0.000480052154066469
4.6525,1.17915943673894E-09,0.000483320144251743
4.655,1.18080631344211E-09,0.000486586572970882
4.6575,1.18242998883788E-09,0.000489851442831543
4.66,1.18402989966168E-09,0.000493114756435886
4.6625,1.18560550984877E-09,0.000496376516380584
4.665,1.18715629383636E-09,0.000499636725256834
4.6675,1.18868175064421E-09,0.000502895385650385
4.67,1.19018140232173E-09,0.000506152500141534
4.6725,1.19165478987645E-09,0.000509408071305157
4.675,1.19310147819515E-09,0.000512662101710709
4.6775,1.1945210543651E-09,0.000515914593922249
4.68,1.19591314090515E-09,0.000519165550498451
4.6825,1.19727736820727E-09,0.000522414973992612
4.685,1.19861341355775E-09,0.000525662866952678
4.6875,1.19992096715696E-09,0.000528909231921243
4.69,1.2011997559295E-09,0.000532154071435572
4.6925,1.20244953947345E-09,0.000535397388027619
4.695,1.20367010055535E-09,0.000538639184224025
4.6975,1.20486125824766E-09,0.000541879462546148
4.7,1.20602286026574E-09,0.000545118225510067
4.7025,1.20715479688848E-09,0.000548355475626594
4.705,1.20825698216461E-09,0.000551591215401298
4.7075,1.20932936965866E-09,0.000554825447334504
4.71,1.21037195025774E-09,0.000558058173921316
4.7125,1.21138475162104E-09,0.000561289397651627
4.715,1.21236782990809E-09,0.000564519121010132
4.7175,1.2133212900715E-09,0.000567747346476339
4.72,1.21424527181126E-09,0.000570974076524588
4.7225,1.21513995021808E-09,0.000574199313624052
4.725,1.21600554214762E-09,0.000577423060238763
4.7275,1.21684230499433E-09,0.000580645318827618
4.73,1.21765053644181E-09,0.000583866091844389
4.7325,1.21843057387243E-09,0.000587085381737742
4.735,1.21918279673735E-09,0.000590303190951243
4.7375,1.21990762652689E-09,0.000593519521923377
4.74,1.22060551946297E-09,0.000596734377087552
4.7425,1.22127698726671E-09,0.000599947758872121
4.745,1.22192257101905E-09,0.000603159669700388
4.7475,1.22254285662878E-09,0.000606370111990617
4.75,1.22313847997757E-09,0.000609579088156055
4.7525,1.22371011541332E-09,0.000612786600604932
4.755,1.22425847373003E-09,0.000615992651740486
4.7575,1.22478431507519E-09,0.000619197243960959
4.76,1.22528843838446E-09,0.000622400379659624
4.7625,1.22577169000962E-09,0.000625602061224789
4.765,1.22623495516033E-09,0.000628802291039809
4.7675,1.22667915835774E-09,0.0006320010714831
4.77,1.22710527196306E-09,0.000635198404928152
4.7725,1.22751430191435E-09,0.000638394293743538
4.775,1.22790730924822E-09,0.000641588740292926
4.7775,1.22828537651353E-09,0.000644781746935095
4.78,1.22864964434298E-09,0.000647973316023936
4.7825,1.22900128582828E-09,0.000651163449908481
4.785,1.22934151376131E-09,0.000654352150932896
4.7875,1.22967158251413E-09,0.000657539421436508
4.79,1.22999278274379E-09,0.000660725263753805
4.7925,1.23030644601984E-09,0.000663909680214456
4.795,1.23061393950189E-09,0.00066709267314332
4.7975,1.23091667288731E-09,0.000670274244860453
4.8,1.23121608118513E-09,0.000673454397681129
4.8025,1.23151364702102E-09,0.000676633133915842
4.805,1.23181088308883E-09,0.000679810455870321
4.8075,1.23210933640112E-09,0.000682986365845549
4.81,1.23241059281271E-09,0.00068616086613776
4.8125,1.23271626248224E-09,0.000689333959038463
4.815,1.23302799323213E-09,0.00069250564683445
4.8175,1.23334746576906E-09,0.000695675931807801
4.82,1.23367638769188E-09,0.000698844816235908
4.8225,1.23401650330225E-09,0.000702012302391476
4.825,1.23436957887024E-09,0.000705178392542535
4.8275,1.23473741238139E-09,0.000708343088952464
4.83,1.23512183011696E-09,0.000711506393879982
4.8325,1.23552468349436E-09,0.000714668309579181
4.835,1.2359478487015E-09,0.00071782883829952
4.8375,1.23639323093757E-09,0.000720987982285844
4.84,1.23686276042035E-09,0.000724145743778403
4.8425,1.23735838128077E-09,0.000727302125012844
4.845,1.23788206896124E-09,0.000730457128220245
4.8475,1.23843582247826E-09,0.000733610755627108
4.85,1.23902165333218E-09,0.000736763009455382
4.8525,1.23964159661831E-09,0.000739913891922471
4.855,1.2402977045399E-09,0.000743063405241242
4.8575,1.24099205321663E-09,0.000746211551620044
4.86,1.24172673201474E-09,0.00074935833326271
4.8625,1.24250384602854E-09,0.000752503752368575
4.865,1.24332551670818E-09,0.000755647811132491
4.8675,1.24419388221312E-09,0.000758790511744826
4.87,1.24511108839861E-09,0.000761931856391487
4.8725,1.24607930427441E-09,0.000765071847253926
4.875,1.24710070162531E-09,0.000768210486509153
4.8775,1.2481774673945E-09,0.000771347776329747
4.88,1.24931180139094E-09,0.000774483718883868
4.8825,1.25050591228823E-09,0.000777618316335265
4.885,1.25176201206148E-09,0.000780751570843296
4.8875,1.25308233179458E-09,0.000783883484562924
4.89,1.25446910443271E-09,0.00078701405964475
4.8925,1.25592456709512E-09,0.000790143298235002
4.895,1.25745096463687E-09,0.000793271202475561
4.8975,1.25905055510553E-09,0.000796397774503967
4.9,1.26072558959701E-09,0.000799523016453431
4.9025,1.26247833407907E-09,0.000802646930452847
4.905,1.26431104913464E-09,0.000805769518626803
4.9075,1.26622600454925E-09,0.000808890783095589
4.91,1.26822547342248E-09,0.000812010725975214
4.9125,1.27031172643652E-09,0.000815129349377413
4.915,1.27248703468373E-09,0.00081824665540966
4.9175,1.2747536735763E-09,0.000821362646175177
4.92,1.27711392283279E-09,0.000824477323772948
4.9225,1.27957004952966E-09,0.000827590690297729
4.925,1.28212433187132E-09,0.000830702747840058
4.9275,1.28477904376053E-09,0.000833813498486266
4.93,1.28753645064978E-09,0.000836922944318492
4.9325,1.29039882837621E-09,0.000840031087414687
4.935,1.29336843973011E-09,0.000843137929848633
4.9375,1.29644754862215E-09,0.000846243473689947
4.94,1.29963841296893E-09,0.000849347721004094
4.9425,1.30294329401558E-09,0.000852450673852403
4.945,1.30636444054018E-09,0.000855552334292067
4.9475,1.30990410399107E-09,0.000858652704376168
4.95,1.31356452853711E-09,0.000861751786153674
4.9525,1.3173479519661E-09,0.000864849581669458
4.955,1.32125660803064E-09,0.000867946092964308
4.9575,1.32529272717537E-09,0.000871041322074934
4.96,1.32945852948497E-09,0.000874135271033985
4.9625,1.33375623576355E-09,0.000877227941870051
4.965,1.33818805429445E-09,0.000880319336607682
4.9675,1.34275619426386E-09,0.000883409457267392
4.97,1.3474628497278E-09,0.000886498305865674
4.9725,1.35231021405403E-09,0.000889585884415013
4.975,1.35730047272763E-09,0.000892672194923885
4.9775,1.36243580640483E-09,0.00089575723939678
4.98,1.36771838396984E-09,0.000898841019834207
4.9825,1.37315037424485E-09,0.000901923538232704
4.985,1.37873392675081E-09,0.000905004796584846
4.9875,1.38447119782671E-09,0.000908084796879268
4.99,1.39036432726143E-09,0.000911163541100654
4.9925,1.39641545469599E-09,0.000914241031229768
4.995,1.40262670363766E-09,0.000917317269243452
4.9975,1.40900019798514E-09,0.000920392257114635
5,1.4155380485498E-09,0.000923465996812359
